old                                      new
f639baafb92e0662ed925dc56b9798c0def8b08d 4aec016ccd614a534b3c789c9b035d7878d523d4
b7ed18db578c56ddac6aa923d0393b14bc06f3b6 5db3c0a7c9399a07d11912745b3c38b896cd10fd
5529e70d8f2acad1870cbb6ed18785d96c24c3e3 47cf737c12d0f495edb97cd162b83c57e985b181
71765c66d5fe011cf2ca108a7e96d47ef503ba34 c852e5177d1e57143dc20393ba91e032781fd377
6cfaf24007f8219bf97ceb68defcd083030f9b04 314f062aaecae70281a20bc3a814cadf8bd60569
034bf15ca29f6329bf2c034f895cfa4c9d2438c4 a5ebbf5efaa34647557ade71cbb5ba330594440e
b61704e382daa987d5bcd6eb0bc8beed51ba9d62 f875c5debb48f0e8706ad2981dd1b1b2737e8be5
a5e9505a452326664b3512557d9fbe0515d28024 7597f590d41d129ada735e1d48ff93f88b777f6a
8c586b6d6b008b403b5c7a9f6eb38989f6b6c0c1 dd5287d1972c5ff2fffbfbb6ef2a5a531f03203d
fcd22dd0de2e62aa7c225c5bed49461d9788cee9 a94dae58a3cdd1b46c0b93d0078934aeab6c874f
7630421a18d2174c2c901d51ebf132b0fb842c73 7c81b6b9a50468d086f94879b3eb4a7f0daa2911
b424685665a4ef359c42c555060fe49540c993db 99183c3570ff7ec5a06c35a0227d9dc931f6c6f6
2710406cc4e38dde6fe6d50f2bcd4194b5622037 5367acda9a3c79e687a551f9478b4ce80d267631
6c4fbbf07174c9dc4ef2207daa657b56d4d1e7f2 0d4a980a1946905de0104425b64253e8388597b9
8e19e6144c62c8250ba139d0fa50570258906791 33bca083c53b56878dba942b908ba722dcf2befe
7c120ac0c829e45b6fa8518763064fd73a1abf9a 2bd5edf5699aab77c9187f525a026e235c88d62f
3300eb7031acd69ee83f6818f2d46b6e6f28b37a 6dfefa18aac5bcc5214cd0128e46f2de80fd3bf1
773025e99cda176a3e795e43d5cf4449059a18c4 a518a8ca1b0ad0265508441c828bf2e5b9b33500
f8b84e89a4fa18fa791489c9e927f04edb40ace6 aeeeb71a4ca0432de0aa612a00a7f394691b7d46
7c33dc4ed9e560ad9623124962e6b1fbf0ee90cb 3f95e15c43bf4debc44e1bc929c5944251c8a45a
4b8d919d1babfe698f5b15759a666f733aa13f8a 75085a3c4b3034f72baa6f20d24345ec1204b209
58c003354fd283275db348d085e14828de28e187 63e1ddfdd16250d4c5c97659b788fb9dce7e7615
b2945d93ed63de652d96eee3ada00ae71a839e8a 55f7446914401e0d4948360821144a40cd73e0e7
a0f11fedf891a3a213e33033f521080a91dcbec7 0f6f24b99fe2feccc1ff407cf17056318c9ae55f
24a7a04dd175cba677500350373ec149416f89ad a35f29e9683a5ec0103d5ccedf32a4d7160677ec
a8bb82e20bfcbe5d477161a20803bcf324f79aa2 3d6507e8d62811bccdbbcfb68692182bfa5b0851
d2da91124ea0f469d23e61ca7cfdfc911a1ffea0 367cc9b8dcc8e5817801cd026ea3a523e77893d5
9ec9f815973de2262db702406117aec84b735abb 483515d359228cb40c87773eca96d59815d3c6a5
194d7abb9722277a2884be78f30326151d1a5e6c 9279ce2c1176d2e3317fc36de310ae3da620cb3c
6a2047b8e253e00e6e9c68209d3e11096932e254 41715292cf5d51c0828f7f5c7fe7302df96b8095
ae884f84556c4e68432bdd66eb12715c7c19aa0a cc4cbccaa908179517929327f2df24852cc9df92
af53509b5b272c672be54f2df0bd46a512c38886 63cb96879d04f3299b43203742544fd451c7c0c9
d20cd5856a287fc97b8a8ed09e07f39571fb4cd1 f69d6d6d3be8596a6ed2638fc351b04033cab9e0
575c9d3a2ccdee71f23647811083ddd042ee626a 622abdb41efb7a58e4d4b7d3d1ded94d5d0a41e4
5932f5a82cdcfff4e813812efe062a27abc04b00 c23ab5bac27d30e62b8f642a30b6093faba46b65
0a6a16c3f0d9953059456aa3503ed667ac11cdd6 62f4d83540749b6c35d29dcbd95b46a497dc3a13
e3d52c6741ce106c5089f575d65fb223f750c6ea 506c4316bf0b1655d1179b9cb7dc71b3a332b657
b17b0615d6449b7e06c85ca2d5296911daf3c85f d10b358948b5394979bb541e3bb70c51d0b06467
46b618dd15585865485e215f9f7d7a424db61595 e067771b3b0fbfd584b830049abcc19ac4983245
f8873da670025d3232ca7572ef6b8457eb979b58 18c8cea7be12822d8d6b69d110b7ead65fbba4d9
ecad55dcfea227528d27e4a5db3782cc8b2b7242 fde56834faff2f23b124a2089aa9feb8f67300df
e489895b6500fc014c94e2002d3b0d2f42e341ee ce98928ea933c61dd70624a3cdb6bcfc314edcec
cfcd785dd5da35d9a455b88137a0586d2f7924d0 d2ba42be6f3b77b5e7050e8aae7d05687d085eff
3f0c139f88787e08f0b54d9b06197f5ff7c8d6a5 30417f987ae1f744eb5eb462df49981d00373731
2cc86c7ad7e8f96a93c02ae4f9d73f95141e2a7f aaf187dd6d3c9cf99b414bbf303472208f7d39f9
d442df28b9bd4445a41ac0b4e075a0a4ae7f0963 f21ea3edc9fa8a12ba4763f4a1bba5a6f72cb68b
60ee52cd0eb65a0ea93b2d8cca98f10eaee1a2cd 8106c34c8e3fc3b5e2b8e98728036b9a5659d0e9
3b5df9fcd2ef4de8d1b3c43e3d230ffc8037ab4d 4b30c3b784add465fc31681d459bc498c65c4b9c
c0fb85d33a8dfdff6eb6b9e398ab2bea8ee41d1d fab7dadc196686a0b9f94c633c712e74c3f8ebf7
61bf1c7374ced10b228c1650a2eeffd79f559afd 83cc6afc8e6baf6ee551251baed1bbe01a3eb47e
4111e6b853520e93e3d8158331c0c8aa021c498b 0160a144901dd1fb964cda3ea94d3e623d1b1e0d
46c3e4c6db58f4324b8377976be4123497ee6982 ae14dffa3b9f013ef32883883216552c1e58d58a
1c2f9e38800ba04abbf2dd89188395ebf2bc4a55 b2682e8b884d7ebb5aa5a141bf2ffeac405714b6
972f72f2e21624dd1463a8fb5165760a76a2df18 8c7aab6749066bce835e845eb17ab4c44149f3dc
d898efcc51f4fe679a4cbfb0053b18af64a7acd8 04c27d3b79e3c63adf8fc1d7b7e5e8f78ce5a63a
5f81b65ea5f67862a7c3a48af4baae09511b5a3e 5556da41ffaf43f4c95f8e2e15f94364350e21d8
b48401f94324c8a7676863c87a153497b0d49cd1 2ecbadf2a4ece39d3bb36e9ffb954585dafb33e6
97616d712e3adc63fe1e055ce868211fd003efb4 e326b6d67e5aa4d4a8ce05aab1da385477a6e4e9
