old                                      new
c56b969a18b171d6bbfae4f78d8e37f3280a97a5 e148d6e0322097dceb68d9d11e3ae2fe72913719
9f81bdfa6127ca6cafc461684c836bc3cb330bae f2a173d5a550617a7e452416c0e1cbd713124140
70b2c062dc262034053f60952b2003bed0a429a1 7934185dccaaa2b8a81cc2472102a2d611fb04b3
59126b9b3d5a19f5c237419acfe584ff102e065b 29bc03edebb22ff6ded1bcd676f2ca008ad6d903
1c4f5a8c3f32bb36b01019e1ac3f482e4c025ccb ed78b4fe348481cbaf155c38b43ae74cd4637f67
388d3af6c27dd837e4b6ac16d2a6c02ae6add362 7e314f98c391d4deccb5d478092468e5db131da2
978104f0a223f104402dc37f73f2639bf8c39042 295741596b0a1f4ec186faefbd55138325b1d581
3d61f9740e3c50754b2d41ffdcc40d136f4ddb23 8eea3227d1a28280170def22e50b8697a6876f84
f1f6dcf34ffc6674656f665e654eefd324dd1967 711b001406b95597b956d0193440cb8bd5251b88
5ac5c379ae73a823b082666fa847fbf77413e304 1b9044bd2db4059e927b9f56370dcdb5ee8a88b0
dded1a2875c3b3899b59668b69a297b87d1509b5 6b54b10af4e9505fdfca409d5c9ad392d893995a
0180f491709440c9023d612ad8a2f02852049395 75423fea1591e076cbff487e90bd2bcdd147c683
dac966c1019d4d7aa0f45d5ff8c5ea1203bc004e 39eddf0861e643cedba935bb24657325002f2a5f
b3002c8b927f139d025f5107b61fccaebecbdd3c 8651d307eff0f6b9cc4b4d554c0492ee5827a2eb
f53fbda9bd12832527f4e2b2ab69eca6e403f9ce d0318efb33e75198bcaf5fe5243a76693fc6c44f
7a8e434e4cb41f3e667b263139c1821a1481b8ec 19f05bab2356061dccf59617e24f37db12a17b88
fab7bb1402f4f90729c6e1ea727653a28ea0fcaf 756fe28a588776b6b96c4bd6bf821be9bf73c8df
c22735b7bba39a8465c9ee4d84b133c95ad26985 595cef5106820b112fa480d6e00a114454c3c682
43c1c0503757bd4f2dfb22610971fe9f0743c3e6 2abcd6d758bd66bd8b829b454bd36453fd63cfed
8b1b9a907fc70c7984ae883627d969fed6f6bd7f 05e953a176eac868368b0a559383e974710167cd
35678f05e99c56fb8febfec127b3bd790cc4b972 e1b90a6026d0063851500cb4d294c674858c2123
bbd80e420fdef3f524b9feb5c2480ae830ba4785 b59f8c935e7fc6df00398d70883cefc81c04b1ff
6d7b7617e632618889f17aaebfed80c9b5336202 9dded0cc502b2de7eca954d984e6bd954908b84f
fe20836efea1925e08c6226e9458e6f3c70e99b4 1801eeb08a15911ffa4bdc20003b7e73a3d957b5
9a95afe3b113928f564f2e2f4e7d70c9e1535b77 f42b2b65cca83218ce3a827b4a5d9858ee7947e2
ba482ef541463c828e02ecaf4f618d9b95cf1072 70dc2699db304857e95e59ede1ffb4aea7424b58
874c00b023f8d9117b3ad2e492141aadf8d9cc7f 002c4d7769081bcd81fe022b44dd0fac905481be
eeb264095e11a4f4207ffbd95634932a4c7c0c1d 7b33ecf7fee30915f4ab60beadf97bede74eec71
20c0ee6e21c6a1597dc890c6ca9d3383e3b71c87 548deaca70169624d9c0e7b8ae4573e6fa17fcfb
69051bb2c0badc4fea4d284fb3f014c24b6476bf 6157b2b9aa44965c4b9923c9ce96c12929f1695c
eb1a114973173da50e510d279cef3781ece03ef2 a059eb6d10d00714b3fdece0def96583d5e06601
6d36cdde99a8ef57661137bdb592b7d26639dc60 f1192d20240197f82357942b705e15736dee8afb
d0c49ece9d27f8cf123943c36939ca6a74afb44c 4e92be6d5b914dccaeba8003bf8a987aa18593e4
