old                                      new
293c815b51694b792fb0198ea1f07305967f7d4b f6ea70acb05385b2f252e3e01d2c34460f9a9013
78d94a875d7c9ebccd426c5f6d734475d7473e15 70e109afebacecc7b06ae6729192812f003b7748
75e6ab4da2970395ac586267116f23d9707d9f3c 7d3bbc15e6f3de1e86e62dca37dd4aea52463f56
b404b5a241308ba4fc43979d8f7f586c2b11b3b5 abd70f0841b87e9f4204131526ac4989182059d8
08131113f8737c8983babc1dd4f98204e759f990 72f1f2e873f37034a550bd124c1b4f747b675b88
1088c5d5ee78c3b4afaf5704a941956d046556bf 868b1f1107379614190b0ca4ada687e69cadce1b
487971d086034e517fce04b88940b40dd509b87e 9c9061269aa927726a8b163c7e540fc9a6ac6d50
f6ab4a9e706ecfed987ed6ea5b4eeb69010e8f46 b5561ce908b0c0981ed276691946feae8fb7f1b1
2f9b9dd8e5a84f84e41be91dce17035a366bfaf9 3be9c346353840b99f4803893967570c7865efd7
ff49e311dd15253d90d80718530af9a9cb5b4717 df841c1f7e6e3a178e7dac557bbdb1554b34d58a
048ad7538e4508247591e28ca4158d52ae890c85 6995bd19a31934eba4fdcbca28bcea5cc25ca0a7
dc4870a6205e31dc130d0338ac03c1ed6c81b5d2 49480c01727d8706ac1f17178e8a0751be5a1f02
0103335fdddab5a73a8d317e53c7549bb8f0e72b 8d528c44979fc3030d73e592f9b59e2c5d292f40
4626469c7aba7c74f83d44083b54d058772d9c6f e52c1abe330e97b5f76e2a932ac7b8316bc1e6e8
ef4f7a1d3341d6179ef13f24f7d489a2dce4ee9c 128953b1dc998b37c0b2fa21f29f0b6f1211a618
708ed0b7969cab8c19bbf7c66143df737eccc3f7 6f84d84889cf97d032b921bdcc99263d1c464f2d
f23bfbde74add499cc4b4a52216b781f030a7fb6 d8c6b055e8eda949c906d126182e450feceac09f
55d792ee1f21cb2d9c3ef624674ccbee53ba482d 0e5c3489511ff72a964754830972fa552d841225
3c46dfd3ab69536dc3f8203612ce345e9a18f106 15702437d5cfade974f2c4c0f43f7f02a74232ad
ffdda5e765e5698828a8bcb531f9945a8b4cd1fa e4d3466a66a4b3aab1baedb11a996ded665a751e
6e729604522121af27157b02e4f8644806b18bd3 02dfa646e28254cb749bca5f9fca1686fca3cd97
462058af9c536a28f4888a9724ed49bf1c91334b b0def65f6be5acd94b7bf02cfd7f7e2e1b868ebe
2e8d06e54faf08872e25e652e11d202996fc5493 a433544a3fd9b839dce3f139b6b016fc148d44e6
654d972c32f443d3db5e79eb35f7cca95ddb5602 28a2b783d4d94c34458d13ffa058d9be80309c02
fb34a8252fc160d7607ef41e7edd1bf6bdf0e1be 40f9df2ebd2a2bddc642fb2dadae6b2e1e18f5ea
4c01684b16308422046d0e8d3f15f793cb201cb1 72bc4d48cb7096df51d9ff7b4d47a93440e5c960
e706a9729227615ec8fa631b4e18b3c80bf292c8 d4dce651a68def5c691c92741d5cac5c5663062f
75b52de4118b92158a6414fc551f7bd2424a2dda 15e486f04bb41fe6a8197c707fe16bf7c3030794
aeca8add8ef87c4fd54de539fca7af168a15f40f cdf756bae2af45f42af74f25b78899f4407238b2
c9028a52a905992fd40b3061bf5edc2af20495ac 8ac2683855d8f68dc3fa7fc6feb7f93c4977de32
299467c64969a4293a211ad28693120c06505fa4 99f69c82b280222ec3d30724f461d5a0a1e892ab
1f08aeb437d2cbc23576f322c061f12942b3a8c3 d217fc350416e957d1d31dbe9a57ed3157abb355
32817f6a35d63df8d7a5d184f42c503f65ddf4ed a413cb9ac868e00f3252f437474e581a3f0cdc61
bff35a92ee884ae48e461d392d0a8c5f90ba9ebe f195e0e8cc90e53d6c6bfbb601d4ec459d421129
8468350d064ba19b2d3176cd3069f622318f7d90 f98a209b0a9e4beaa3f930c0ff4df189a6ae0712
3bce5a230bdcf8e4b1d391536a848410f223d524 ad583acdde6f88decf909a741467de0e127f5421
500127e91cb92ca5e324cd3bcf717831fd750cdf 874e667228fd62c852fbd3798fe55f083d227348
322e955d447f4ecd7b1cff96f0bdab143f104850 fb2bd3694fbbb369f38c866a11b34788fa0a6a2f
2abfcf2b80f047f521fc141e0f1b5850b1e39151 70e26e563d0025f942cb10ebb7b060c43e9b2572
f6beb8783f762e85d0888d5cb1e53d6c6ccab2d2 9e435761582a4157ea0c25ca0a87b9da278ecd70
bdf38a2e6bd1a67fdbc40c3d8ab29b416fa5cac9 403f5eafd5015d0506d53faacde6a5327ebe91b3
82de4ab8e4c2f000601fcfee0e36f4ad88ccbd04 6d307cef535f467de8466dd98a5ac75e13f7e858
d8513f6625ecc10fd8004f885d0a1f80483d3a4a 4e4f20c97abc4af2c4149c93f6db778f96442d51
c36c6e58cab66ac65413f3610e528187737566e4 3e5bcd946f0bb4949430f4c437465921e142fd56
3c8531766d89783a4c9082b123b3a7aaabbfe8a8 e847cb07cf4b2c4310cb950288467c5cda45e2d5
bbadcbd988b1691909b2c2794e586371889c6886 9aa14997bb448ffa61656f88b8fd078823db82ce
4996ad548050f328d0ed774f54d3b1518341d3e9 bdd00d3d825f9bf2e1c26f0e6a1c20072186aa06
dc389e66c88c77ecba7a008c38b2ef0c01f7014e ed73279d3ba0391fcb01567409abce0f9df3599b
5c72ebb6253676c3c3090574dfab7656e6cb48cc 0e453fe821b357da3867313f284fcbfb3c441a37
ccd2a5bd0701ec5a8bc19cfc6fa771594ab4f9aa ba22d9930a63f5beaa23e56cf61e5af72a380e7f
9e567186c596126d1715e2bbd8fd57888d03cdd8 014a2388cb3e7d7be4c6f7dadabfd2934880581f
ed404cbc1682b900a48ec455391120b8c4de5c72 3c6b441327b0d8160d11cfdaeaf7addc035dd3c8
be66e08ecc7f022036d171dd67b5ce6f975632e9 e7a51625b66c7b5b4d1aa713ead933242c46ee77
